GenderSelect,Country,Age,EmploymentStatus,StudentStatus,CurrentJobTitleSelect,CurrentEmployerType,LanguageRecommendationSelect,LearningDataScienceTime,FormalEducation,MajorSelect,EmployerIndustry,EmployerSize,RemoteWork,CompensationAmount,CompensationCurrency,JobSatisfaction
Male,Canada,55.0,Employed full-time,,,,,,,,,,,,,
Male,United States,67.0,Retired,,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,C/C++/C#,,Master's degree,Electrical Engineering,Military/Security,,,,,
Male,United States,33.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,Python,,Master's degree,Mathematics or statistics,Financial,I don't know,Sometimes,83000,USD,8
Male,United States,34.0,Employed full-time,,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Matlab,,Master's degree,"Information technology, networking, or system administration",Technology,"1,000 to 4,999 employees",Rarely,110000,USD,6
Male,India,22.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,1-2 years,Bachelor's degree,Computer Science,Technology,,,,,
Male,United States,47.0,Employed full-time,,Data Analyst,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,Mathematics or statistics,Government,"1,000 to 4,999 employees",Always,175000,USD,1 - Highly Dissatisfied
Female,United States,53.0,Employed full-time,,Other,Employed by professional services/consulting firm,R,3-5 years,Bachelor's degree,Mathematics or statistics,Pharmaceutical,,,,,
Male,United States,36.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Doctoral degree,Other,Other,100 to 499 employees,Sometimes,,,1 - Highly Dissatisfied
Male,United Kingdom,31.0,Employed full-time,,Data Analyst,Employed by company that makes advanced analytic software,Python,,Master's degree,,Technology,100 to 499 employees,Never,32000,GBP,7
Male,Canada,45.0,Employed full-time,,Data Scientist,Employed by a company that doesn't perform advanced analytics,Python,,Bachelor's degree,Other,Other,100 to 499 employees,Sometimes,115000,CAD,7
Male,United States,23.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,R,,Master's degree,Mathematics or statistics,Other,20 to 99 employees,Never,"60,000",USD,10 - Highly Satisfied
Male,United States,34.0,Employed full-time,,Researcher,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,,Financial,"5,000 to 9,999 employees",Most of the time,250000,USD,4
Male,Germany,28.0,Employed full-time,,Machine Learning Engineer,Employed by company that makes advanced analytic software,Python,,Master's degree,Computer Science,Technology,100 to 499 employees,Sometimes,,,9
Male,United States,27.0,Employed full-time,,Data Analyst,Employed by government,Python,,Master's degree,Computer Science,Government,"5,000 to 9,999 employees",Never,45000,USD,5
Male,Ukraine,21.0,Employed full-time,,,,,,,,,,,,,
Male,Canada,32.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,Python,,Master's degree,Mathematics or statistics,Other,100 to 499 employees,Rarely,67000,CAD,5
Male,United States,23.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,,Bachelor's degree,Mathematics or statistics,Telecommunications,500 to 999 employees,Never,61000,,2
Male,Brazil,27.0,Employed full-time,,,,,,,,,,,,,
Female,United States,25.0,Employed full-time,,Researcher,Employed by college or university,Python,,Master's degree,Electrical Engineering,Academic,100 to 499 employees,,,,8
Male,United States,40.0,Employed full-time,,Other,Employed by non-profit or NGO,SQL,,Professional degree,,Non-profit,"5,000 to 9,999 employees",Never,151000,USD,1 - Highly Dissatisfied
Male,United States,53.0,Employed full-time,,Other,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,15+ years,Master's degree,A humanities discipline,Mix of fields,,,,,
Male,India,20.0,"Not employed, and not looking for work",Yes,,,Python,1-2 years,Some college/university study without earning a bachelor's degree,Other,,,,,,
Male,Japan,28.0,"Independent contractor, freelancer, or self-employed",,Software Developer/Software Engineer,Self-employed,Python,,Master's degree,Biology,Internet-based,,Sometimes,"6,000,000",JPY,6
Male,United States,23.0,Employed part-time,,Researcher,Employed by college or university,Python,,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Academic,Fewer than 10 employees,Most of the time,"10,400",,7
Male,Canada,30.0,Employed full-time,,Researcher,Employed by professional services/consulting firm,R,,Bachelor's degree,A social science,Mix of fields,20 to 99 employees,Rarely,,,9
Female,Ukraine,23.0,Employed full-time,,Data Scientist,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,Mathematics or statistics,Internet-based,20 to 99 employees,Always,10500,USD,7
Male,Germany,26.0,I prefer not to say,Yes,,,R,1-2 years,Master's degree,Management information systems,,,,,,
Male,Brazil,28.0,Employed full-time,,Operations Research Practitioner,Employed by government,Python,,Doctoral degree,Mathematics or statistics,Academic,I don't know,Rarely,85200,BRL,5
Male,Romania,41.0,"Independent contractor, freelancer, or self-employed",,Machine Learning Engineer,Employed by professional services/consulting firm,Python,,Bachelor's degree,Electrical Engineering,Telecommunications,,Always,60000,USD,9
Female,United States,28.0,Employed full-time,,Data Scientist,Employed by college or university,Python,,Bachelor's degree,Electrical Engineering,Academic,20 to 99 employees,Never,,,7
Male,United States,35.0,"Independent contractor, freelancer, or self-employed",,,,,,,,,,,,,
Female,Argentina,33.0,Employed full-time,,Data Scientist,Employed by professional services/consulting firm,R,,Master's degree,Computer Science,Mix of fields,20 to 99 employees,Sometimes,32000,ARS,7
Female,United States,27.0,Employed full-time,,Business Analyst,"Employed by college or university,Employed by a company that doesn't perform advanced analytics",SQL,,Master's degree,Psychology,Non-profit,500 to 999 employees,Sometimes,38000,USD,7
Male,United States,40.0,Employed full-time,,Statistician,"Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics",SQL,,Master's degree,Management information systems,Financial,500 to 999 employees,Sometimes,150000,,8
Male,United States,23.0,Employed full-time,,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,Computer Science,Technology,20 to 99 employees,Rarely,"89,000",USD,9
Male,Singapore,55.0,"Independent contractor, freelancer, or self-employed",,,,,,,,,,,,,
Male,Switzerland,23.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,,Master's degree,Computer Science,Technology,"1,000 to 4,999 employees",Rarely,24000,CHF,10 - Highly Satisfied
Male,Vietnam,28.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,R,,Master's degree,Mathematics or statistics,Financial,"10,000 or more employees",Rarely,18000,USD,9
Male,Canada,46.0,Employed full-time,,Scientist/Researcher,"Employed by a company that doesn't perform advanced analytics,Employed by non-profit or NGO,Employed by government",Python,,Doctoral degree,Other,Other,"10,000 or more employees",Rarely,63000,CAD,8
Male,United States,33.0,Employed full-time,,Data Scientist,Employed by company that makes advanced analytic software,Python,,Doctoral degree,Mathematics or statistics,Internet-based,20 to 99 employees,Sometimes,142000,USD,7
Male,Canada,24.0,"Not employed, and not looking for work",Yes,,,Python,< 1 year,Master's degree,Electrical Engineering,,,,,,
Male,Other,3.0,I prefer not to say,Yes,,,,,,,,,,,,
Male,Canada,34.0,Employed full-time,,Predictive Modeler,Employed by a company that doesn't perform advanced analytics,R,,Some college/university study without earning a bachelor's degree,Psychology,Financial,"10,000 or more employees",Rarely,90000,,6
Male,United States,48.0,Employed full-time,,,,,,,,,,,,,
Male,Brazil,32.0,Employed full-time,,Data Scientist,Employed by professional services/consulting firm,R,,Bachelor's degree,Computer Science,Other,"1,000 to 4,999 employees",Rarely,105000,BRL,7
Male,United States,31.0,Employed full-time,,Scientist/Researcher,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",R,,Doctoral degree,Mathematics or statistics,Other,"1,000 to 4,999 employees",Rarely,120000,USD,9
Male,Other,27.0,Employed full-time,,Other,Employed by a company that doesn't perform advanced analytics,Python,< 1 year,Master's degree,Engineering (non-computer focused),Mix of fields,,,,,
Male,India,30.0,Employed full-time,,Predictive Modeler,Employed by a company that performs advanced analytics,Python,,Master's degree,A social science,Financial,"10,000 or more employees",Sometimes,2000000,,2
Male,United States,40.0,Employed full-time,,Engineer,Employed by a company that doesn't perform advanced analytics,R,,Master's degree,Mathematics or statistics,Financial,"5,000 to 9,999 employees",Sometimes,110000,USD,5
Male,Brazil,30.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,"Information technology, networking, or system administration",Technology,"1,000 to 4,999 employees",Sometimes,110000,BRL,10 - Highly Satisfied
Male,Belarus,33.0,Employed full-time,,Scientist/Researcher,Employed by a company that doesn't perform advanced analytics,Java,,Master's degree,Physics,Technology,20 to 99 employees,,"20,000",BYN,6
Male,Brazil,54.0,"Independent contractor, freelancer, or self-employed",,Software Developer/Software Engineer,Self-employed,R,,Some college/university study without earning a bachelor's degree,Physics,Internet-based,,Sometimes,,BRL,6
Male,Ukraine,66.0,"Independent contractor, freelancer, or self-employed",,Software Developer/Software Engineer,Self-employed,C/C++/C#,,Master's degree,Computer Science,Technology,,Sometimes,10000,USD,3
Male,United States,32.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,A social science,CRM/Marketing,100 to 499 employees,Rarely,140000,USD,7
Male,Canada,23.0,"Not employed, but looking for work",,,,Python,3-5 years,Master's degree,Computer Science,,,,,,
Male,United States,25.0,Employed full-time,,Machine Learning Engineer,Employed by company that makes advanced analytic software,Python,,Bachelor's degree,A social science,Manufacturing,"10,000 or more employees",Rarely,"70,000",USD,8
Male,Russia,37.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Master's degree,Electrical Engineering,Telecommunications,20 to 99 employees,Rarely,,,7
Male,France,50.0,Employed full-time,,Data Miner,Employed by a company that performs advanced analytics,R,,Master's degree,Mathematics or statistics,Mix of fields,"10,000 or more employees",Most of the time,"60,000",EUR,4
A different identity,United States,61.0,Retired,,Scientist/Researcher,Employed by professional services/consulting firm,R,,Doctoral degree,Physics,Other,,,,,
Male,India,22.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,SAS,< 1 year,Bachelor's degree,Electrical Engineering,Technology,,,,,
Male,Netherlands,62.0,Employed full-time,,Scientist/Researcher,Employed by company that makes advanced analytic software,R,,Master's degree,Biology,Technology,"10,000 or more employees",Always,,,8
Female,United States,34.0,Employed full-time,,Scientist/Researcher,Employed by college or university,Python,,Master's degree,Other,Other,"1,000 to 4,999 employees",Most of the time,,,8
Male,Greece,33.0,Employed full-time,,,,,,,,,,,,,
Female,United States,26.0,"Not employed, but looking for work",,,,Python,1-2 years,Master's degree,Electrical Engineering,,,,,,
Male,Nigeria,32.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,Python,,Bachelor's degree,Management information systems,Technology,100 to 499 employees,,90000,USD,9
Male,United States,62.0,"Independent contractor, freelancer, or self-employed",,Scientist/Researcher,"Employed by a company that performs advanced analytics,Self-employed",R,,Doctoral degree,Engineering (non-computer focused),Mix of fields,,Most of the time,,,10 - Highly Satisfied
Male,United States,52.0,Employed full-time,,Scientist/Researcher,Employed by college or university,R,,Master's degree,Physics,Academic,"1,000 to 4,999 employees",Never,50000,USD,9
Male,United States,19.0,"Not employed, but looking for work",,,,Python,1-2 years,Some college/university study without earning a bachelor's degree,Computer Science,,,,,,
Male,Brazil,30.0,Employed full-time,,Data Scientist,Employed by college or university,Matlab,,Doctoral degree,Computer Science,Academic,20 to 99 employees,Sometimes,180,BRL,10 - Highly Satisfied
Male,Germany,31.0,Employed full-time,,,,,,,,,,,,,
Female,People 's Republic of China,,Employed full-time,,Data Analyst,,,,Bachelor's degree,Computer Science,Financial,10 to 19 employees,,,,7
Male,Canada,34.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,R,,Master's degree,,Financial,"10,000 or more employees",Sometimes,85000,CAD,6
Male,United Kingdom,32.0,Employed full-time,,Scientist/Researcher,Employed by college or university,Matlab,,Doctoral degree,Biology,Academic,I don't know,,30000,GBP,6
Male,United States,28.0,Employed full-time,,Predictive Modeler,Employed by non-profit or NGO,R,,Doctoral degree,A social science,Military/Security,20 to 99 employees,Sometimes,57000,,9
Male,United States,21.0,"Not employed, but looking for work",,,,Python,1-2 years,Bachelor's degree,Electrical Engineering,,,,,,
Male,United States,22.0,Employed full-time,,,,,,,,,,,,,
Male,United States,38.0,"Not employed, but looking for work",,,,Python,3-5 years,Bachelor's degree,Engineering (non-computer focused),,,,,,
Male,Russia,24.0,Employed full-time,,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,,Master's degree,Mathematics or statistics,CRM/Marketing,20 to 99 employees,Sometimes,55000,USD,8
Female,United States,25.0,Employed full-time,,Predictive Modeler,Employed by a company that performs advanced analytics,SQL,,Bachelor's degree,Mathematics or statistics,Telecommunications,"10,000 or more employees",Sometimes,"92,000",,6
Male,Hong Kong,48.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,Computer Science,Financial,"10,000 or more employees",Rarely,1500000,HKD,9
Male,Other,24.0,"Not employed, but looking for work",,,,Python,< 1 year,Some college/university study without earning a bachelor's degree,Computer Science,,,,,,
Male,Canada,27.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,Python,,Master's degree,,CRM/Marketing,"1,000 to 4,999 employees",Rarely,80000,CAD,9
Male,Other,41.0,Employed full-time,,Other,Employed by college or university,Python,,Master's degree,Electrical Engineering,Academic,"1,000 to 4,999 employees",Sometimes,15333,USD,8
Male,United States,28.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,,,Bachelor's degree,A health science,CRM/Marketing,"1,000 to 4,999 employees",,90000,USD,8
Male,United States,30.0,"Independent contractor, freelancer, or self-employed",,Programmer,Self-employed,R,1-2 years,Bachelor's degree,Computer Science,Mix of fields,,,,,
Male,India,25.0,Employed full-time,,Programmer,Employed by professional services/consulting firm,Python,,Bachelor's degree,"Information technology, networking, or system administration",Technology,"10,000 or more employees",Rarely,385000,,3
Male,United States,62.0,"Not employed, but looking for work",,,,Other,1-2 years,Bachelor's degree,Other,,,,,,
Male,Canada,35.0,Employed full-time,,Researcher,Employed by college or university,Python,,Master's degree,Mathematics or statistics,Other,"1,000 to 4,999 employees",Rarely,65000,CAD,7
Male,Canada,61.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Self-employed,Python,,Bachelor's degree,Engineering (non-computer focused),Manufacturing,,Sometimes,200000,USD,7
Male,United States,28.0,Employed full-time,,Other,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,,Master's degree,,Manufacturing,"10,000 or more employees",Rarely,96000,USD,7
Male,Italy,23.0,"Not employed, but looking for work",,,,Python,3-5 years,Master's degree,Computer Science,,,,,,
Male,Other,27.0,Employed full-time,,Other,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,I never declared a major,Technology,20 to 99 employees,Most of the time,12000,USD,8
Male,United States,33.0,Employed full-time,,Data Scientist,Employed by professional services/consulting firm,Python,,Bachelor's degree,Mathematics or statistics,Government,"10,000 or more employees",Rarely,74000,USD,9
Male,Ukraine,34.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,1-2 years,Master's degree,Electrical Engineering,Mix of fields,,,,,
Male,Israel,26.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,Python,,Master's degree,Computer Science,Internet-based,"10,000 or more employees",Rarely,130000,USD,6
Female,United States,22.0,Employed part-time,,Data Scientist,Employed by college or university,R,< 1 year,Some college/university study without earning a bachelor's degree,,Academic,,,,,
Male,France,25.0,Employed part-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Master's degree,Computer Science,Mix of fields,Fewer than 10 employees,Don't know,36800,EUR,8
Male,United States,33.0,Employed full-time,,Data Scientist,Employed by non-profit or NGO,Python,,Master's degree,A social science,Non-profit,20 to 99 employees,Always,117000,USD,7
Male,Italy,52.0,Employed full-time,,Data Scientist,Employed by college or university,R,,Doctoral degree,,Academic,"1,000 to 4,999 employees",,"100,000",EUR,9
Female,Taiwan,25.0,Employed full-time,,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,1-2 years,Master's degree,Management information systems,Manufacturing,,,,,
Male,India,26.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,R,,Master's degree,Computer Science,Technology,"5,000 to 9,999 employees",Rarely,380000,INR,3
A different identity,United States,25.0,Employed full-time,,,,,,,,,,,,,
Male,Other,34.0,Employed full-time,,Engineer,"Employed by professional services/consulting firm,Employed by college or university,Employed by a company that performs advanced analytics,Employed by non-profit or NGO,Employed by government",Python,< 1 year,Bachelor's degree,Computer Science,Mix of fields,,,,,
Male,United States,39.0,Employed full-time,,Data Scientist,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics,Employed by government",Python,,Master's degree,Computer Science,Military/Security,20 to 99 employees,Rarely,190000,USD,1 - Highly Dissatisfied
Male,Philippines,27.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,< 1 year,Bachelor's degree,Electrical Engineering,Internet-based,,,,,
Male,United States,41.0,Employed full-time,,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,,Master's degree,Mathematics or statistics,Technology,20 to 99 employees,Never,90000,USD,4
Male,United States,46.0,Employed full-time,,Data Scientist,Employed by company that makes advanced analytic software,SAS,,Master's degree,,Technology,"10,000 or more employees",,210000,USD,9
Male,Brazil,35.0,Employed full-time,,Software Developer/Software Engineer,Self-employed,Python,,Master's degree,Computer Science,Manufacturing,20 to 99 employees,Rarely,100000,BRL,8
Male,France,28.0,Employed full-time,,Data Scientist,Employed by professional services/consulting firm,R,,Doctoral degree,Mathematics or statistics,Mix of fields,20 to 99 employees,Sometimes,"64,000",EUR,8
Male,United States,37.0,Employed full-time,,Scientist/Researcher,Employed by college or university,Python,,Master's degree,A humanities discipline,Academic,I don't know,Most of the time,63000,USD,7
Male,United States,56.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,R,15+ years,Doctoral degree,Mathematics or statistics,Technology,,,,,
Male,United States,,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,Other,Financial,"5,000 to 9,999 employees",Sometimes,"130,000",,6
Male,United States,40.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,Python,,Master's degree,Mathematics or statistics,Financial,Fewer than 10 employees,Sometimes,180000,USD,5
Male,India,22.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,,,Bachelor's degree,Engineering (non-computer focused),CRM/Marketing,100 to 499 employees,,600000,INR,7
Male,United States,70.0,Retired,,Business Analyst,Employed by a company that performs advanced analytics,SQL,,Master's degree,Computer Science,Manufacturing,,,,,
Male,Hungary,22.0,"Not employed, and not looking for work",Yes,,,Python,1-2 years,I did not complete any formal education past high school,,,,,,,
Male,Belgium,43.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Self-employed,Python,,Doctoral degree,Engineering (non-computer focused),Mix of fields,,Most of the time,200000,EUR,10 - Highly Satisfied
Female,Czech Republic,29.0,"Not employed, but looking for work",,,,R,1-2 years,Master's degree,,,,,,,
A different identity,United States,31.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Doctoral degree,Biology,Internet-based,100 to 499 employees,Sometimes,115000,USD,9
Male,United States,68.0,"Independent contractor, freelancer, or self-employed",,Business Analyst,Self-employed,R,,Professional degree,,Other,,Always,125000,USD,10 - Highly Satisfied
Male,South Africa,28.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Professional degree,,Insurance,"1,000 to 4,999 employees",,900000,ZAR,8
Male,Brazil,44.0,Employed part-time,,Business Analyst,"Employed by a company that doesn't perform advanced analytics,Employed by non-profit or NGO",Python,,Bachelor's degree,A humanities discipline,Technology,100 to 499 employees,Never,90000,BRL,6
Male,Brazil,31.0,Employed full-time,,Engineer,Employed by a company that doesn't perform advanced analytics,Python,1-2 years,Bachelor's degree,Electrical Engineering,Other,,,,,
Male,Netherlands,52.0,Employed full-time,,,,,,,,,,,,,
Female,India,21.0,"Not employed, but looking for work",,,,C/C++/C#,< 1 year,Bachelor's degree,"Information technology, networking, or system administration",,,,,,
Female,United States,32.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,Computer Science,Telecommunications,"10,000 or more employees",Most of the time,110000,USD,8
Male,United States,31.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,Python,1-2 years,Bachelor's degree,A humanities discipline,CRM/Marketing,,,,,
Male,Singapore,18.0,Employed full-time,,Other,Employed by government,Python,1-2 years,Some college/university study without earning a bachelor's degree,I never declared a major,Military/Security,,,,,
Male,Canada,48.0,Employed full-time,,Data Scientist,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,,Master's degree,A humanities discipline,Technology,20 to 99 employees,Most of the time,107000,CAD,9
Female,United States,29.0,Employed full-time,,Data Analyst,Employed by non-profit or NGO,Python,,Bachelor's degree,Biology,Other,"10,000 or more employees",Sometimes,"70,000",USD,8
Female,United States,23.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,Python,,Bachelor's degree,Other,Mix of fields,"10,000 or more employees",Sometimes,70000,,7
Male,United States,31.0,Employed full-time,,,,,,,,,,,,,
Male,United States,68.0,"Independent contractor, freelancer, or self-employed",,Computer Scientist,Self-employed,Python,,Master's degree,Computer Science,Internet-based,,Sometimes,,,9
Male,Russia,41.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,Engineering (non-computer focused),Mix of fields,"1,000 to 4,999 employees",Rarely,150000,RUB,8
Male,United States,22.0,"Not employed, but looking for work",,,,C/C++/C#,3-5 years,Master's degree,Computer Science,,,,,,
Male,United States,22.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,3-5 years,Bachelor's degree,Computer Science,Technology,,,,,
Male,United States,42.0,"Independent contractor, freelancer, or self-employed",,Business Analyst,Self-employed,Python,,Master's degree,A social science,Other,,Always,,,5
Female,United States,30.0,Employed full-time,,Engineer,Employed by a company that performs advanced analytics,Python,,Master's degree,Biology,Technology,"10,000 or more employees",Rarely,110000,USD,I prefer not to share
Male,India,28.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,Matlab,,Bachelor's degree,Computer Science,Technology,500 to 999 employees,Sometimes,,,6
Male,United States,24.0,Employed full-time,,Data Scientist,Employed by professional services/consulting firm,Python,,Bachelor's degree,A social science,Technology,"10,000 or more employees",Sometimes,88000,USD,8
Male,India,21.0,"Not employed, but looking for work",,,,R,1-2 years,Bachelor's degree,Mathematics or statistics,,,,,,
Male,Other,38.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,R,,Bachelor's degree,Computer Science,Financial,"5,000 to 9,999 employees",Never,310000000,VND,7
Male,Canada,29.0,Employed full-time,,Data Analyst,Employed by government,R,,Bachelor's degree,,Government,"1,000 to 4,999 employees",Never,83001,CAD,8
Male,United States,21.0,"Not employed, but looking for work",,,,R,1-2 years,Some college/university study without earning a bachelor's degree,,,,,,,
Male,United States,25.0,Employed full-time,,,,,,,,,,,,,
Female,Ukraine,34.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,SQL,,Master's degree,Computer Science,Telecommunications,"5,000 to 9,999 employees",Rarely,480000,UAH,3
Male,Other,28.0,"Independent contractor, freelancer, or self-employed",,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,1-2 years,Bachelor's degree,"Information technology, networking, or system administration",Technology,,,,,
Male,United States,23.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,,,Master's degree,Management information systems,Manufacturing,"10,000 or more employees",Rarely,75000,USD,6
Male,United States,43.0,Employed full-time,,Machine Learning Engineer,Employed by non-profit or NGO,Python,,Master's degree,Computer Science,Government,"5,000 to 9,999 employees",Most of the time,,USD,9
Female,United States,35.0,"Not employed, and not looking for work",No,,,R,1-2 years,Master's degree,Computer Science,,,,,,
Male,Taiwan,34.0,Employed full-time,,,,,,,,,,,,,
Male,Poland,57.0,Employed full-time,,Data Scientist,Employed by college or university,Other,,Doctoral degree,Electrical Engineering,Academic,20 to 99 employees,Most of the time,,,10 - Highly Satisfied
Male,India,22.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,,,Bachelor's degree,,Internet-based,"10,000 or more employees",,22000,INR,5
Female,Netherlands,22.0,"Not employed, and not looking for work",Yes,,,Python,1-2 years,Bachelor's degree,I never declared a major,,,,,,
Male,New Zealand,33.0,"Not employed, but looking for work",,,,Python,1-2 years,Master's degree,Other,,,,,,
Female,United States,32.0,Employed full-time,,Data Analyst,Employed by government,Python,,Master's degree,A social science,Government,I don't know,Sometimes,62000,USD,4
Male,United States,39.0,Employed full-time,,,,,,,,,,,,,
Male,Canada,22.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,1-2 years,Bachelor's degree,Computer Science,Technology,,,,,
Male,United States,23.0,Employed part-time,,Data Analyst,Employed by a company that doesn't perform advanced analytics,R,,Bachelor's degree,Mathematics or statistics,Technology,100 to 499 employees,Rarely,,USD,8
Female,Switzerland,28.0,Employed full-time,,Engineer,Employed by company that makes advanced analytic software,Python,,Master's degree,Electrical Engineering,Technology,10 to 19 employees,Rarely,"80,000",CHF,3
Female,United States,32.0,"Not employed, but looking for work",,,,Java,1-2 years,Master's degree,Biology,,,,,,
Male,Italy,40.0,Employed full-time,,Engineer,Employed by a company that doesn't perform advanced analytics,R,1-2 years,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),Manufacturing,,,,,
Male,United States,29.0,Employed full-time,,,,,,,,,,,,,
Male,People 's Republic of China,29.0,"Not employed, but looking for work",,,,Python,< 1 year,Master's degree,Engineering (non-computer focused),,,,,,
Male,United States,29.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Doctoral degree,Mathematics or statistics,Other,100 to 499 employees,Rarely,95000,USD,7
Male,Finland,28.0,"Independent contractor, freelancer, or self-employed",,Scientist/Researcher,Employed by college or university,R,,Master's degree,Engineering (non-computer focused),Academic,,Sometimes,"28,000",EUR,5
Male,Chile,31.0,Employed full-time,,,,,,,,,,,,,
Male,United States,38.0,Employed full-time,,Data Scientist,Employed by company that makes advanced analytic software,Python,,Bachelor's degree,Computer Science,Technology,20 to 99 employees,Most of the time,245000,USD,10 - Highly Satisfied
Male,Brazil,35.0,Employed full-time,,Data Scientist,"Employed by a company that doesn't perform advanced analytics,Employed by government",Python,,Master's degree,"Information technology, networking, or system administration",Other,"10,000 or more employees",Never,150000,BRL,7
Male,Other,20.0,"Not employed, and not looking for work",Yes,,,Python,< 1 year,Bachelor's degree,Computer Science,,,,,,
Male,United States,60.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Java,,Bachelor's degree,Other,Telecommunications,"10,000 or more employees",,150000,,7
Male,United States,25.0,Employed part-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,A social science,Technology,Fewer than 10 employees,Most of the time,60000,USD,7
Male,United States,34.0,Employed full-time,,Statistician,Employed by professional services/consulting firm,Python,,Master's degree,Engineering (non-computer focused),Insurance,20 to 99 employees,Sometimes,150000,USD,7
Male,United States,49.0,"Independent contractor, freelancer, or self-employed",,Software Developer/Software Engineer,Self-employed,Python,,Doctoral degree,Computer Science,Manufacturing,,,,,5
Male,United States,42.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Employed by professional services/consulting firm,R,,Master's degree,Biology,Financial,,Always,87500,USD,8
Male,India,21.0,"Not employed, but looking for work",,,,Python,< 1 year,Bachelor's degree,Other,,,,,,
Male,Nigeria,30.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,R,< 1 year,Master's degree,,Financial,,,,,
